bill_id,session,full_number,synopsis,reason
2000-ACR170,2000,ACR170,Commemorates Washington's crossing Delaware River and victory at Trenton.,no include pattern matched
2000-AR171,2000,AR171,Commemorates June 19 as the Juneteenth celebration.,no include pattern matched
2000-SR64,2000,SR64,Commemorates June 19 as the Juneteenth celebration.,no include pattern matched
2000-A1847,2000,A1847,"Revises membership of U.S.S. New Jersey Battleship Commission, designates Foundation for the U.S.S. New Jersey Battleship as operator of battleship site and grants control over battleship to the commission.",no include pattern matched
2000-A2667,2000,A2667,Establishes forensic laboratory fees for sexual assault; designates uses.,no include pattern matched
2000-A2754,2000,A2754,Designates methadone clinics as business use for zoning purposes.,no include pattern matched
2000-A3490,2000,A3490,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2000-AR38,2000,AR38,Designates the Kechemeche Tribe as native to New Jersey.,no include pattern matched
2000-S1469,2000,S1469,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2000-S1533,2000,S1533,Designates methadone clinics as business use for zoning purposes.,no include pattern matched
2000-S1632,2000,S1632,Establishes forensic laboratory fees for sexual assault; designates uses.,no include pattern matched
2000-S2181,2000,S2181,Designates certain persons to serve as nonpartisan agents to assist incapacitated absentee voters.,no include pattern matched
2000-A1257,2000,A1257,Renames the Governor's Council on the Prevention of Mental Retardation as the Governor's Council on the Prevention of Mental Retardation and Developmental Disabilities.,no include pattern matched
2000-A1759,2000,A1759,Renames the New Jersey State College Governing Boards Association as the New Jersey Association of State Colleges and Universities.,no include pattern matched
2000-A1834,2000,A1834,"Renames and expands scope of the Commission on Racism, Racial Violence and Religious Violence.",excluded: renames_authority (administrative body rename)
2000-A2204,2000,A2204,Renames Office on Minority Health in DHSS as Office on Minority and Multicultural Health and provides additional responsibilities for office; appropriates $1.5 million.*,excluded: renames_authority (administrative body rename)
2000-A2824,2000,A2824,Renames Office on Minority Health in DHSS as Office on Minority and Multicultural Health and provides additional responsibilities for office; appropriates $1.5 million.,excluded: renames_authority (administrative body rename)
2000-S10,2000,S10,Renames Office on Minority Health in DHSS as Office on Minority and Multicultural Health and provides additional responsibilities for office; appropriates $1.5 million.,excluded: renames_authority (administrative body rename)
2000-S176,2000,S176,"Renames and expands scope of Commission on Racism, Racial Violence and Religious Violence.",excluded: renames_authority (administrative body rename)
2000-S717,2000,S717,Renames the Governor's Council on the Prevention of Mental Retardation as the Governor's Council on the Prevention of Mental Retardation and Developmental Disabilities.,no include pattern matched
2002-AR80,2002,AR80,Commemorates June 19 as the Juneteenth celebration.,no include pattern matched
2002-SR911,2002,SR911,"Commemorates September 11, 2001.",no include pattern matched
2002-A168,2002,A168,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2002-A2404,2002,A2404,Designates official entity constructing law enforcement memorial and museum.,no include pattern matched
2002-A2742,2002,A2742,Establishes forensic laboratory fees for sexual assault; designates uses.,no include pattern matched
2002-A3044,2002,A3044,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2002-AJR48,2002,AJR48,Designates Sunset Lake Hydrofest in Wildwood Crest as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2002-AJR55,2002,AJR55,"Designates annually Atlantic City Marathon as New Jersey Festival of Running, an official State event.",no include pattern matched
2002-S369,2002,S369,Designates certain persons to serve as nonpartisan agents to assist incapacitated absentee voters.,no include pattern matched
2002-S490,2002,S490,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2002-S1797,2002,S1797,Designates the Homestead Rebate Payment Protection Act; requires the payment of homestead rebates on or before July 31 annually.,no include pattern matched
2002-S1934,2002,S1934,Establishes forensic laboratory fees for sexual assault; designates uses.,no include pattern matched
2002-S2111,2002,S2111,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2002-S2712,2002,S2712,Designates the State agencies to be involved in the selection of school renaissance zones.,no include pattern matched
2002-SJR37,2002,SJR37,Designates Colonial Musketeers Junior Ancient Fife and Drum Corps and Colonial Musketeers Senior Ancient Fife and Drum Corps as non-exclusive official Junior and Senior Ancient Fife and Drum Corps of New Jersey. *,no include pattern matched
2002-A2377,2002,A2377,"Renames and expands scope of Commission on Racism, Racial Violence and Religious Violence.",excluded: renames_authority (administrative body rename)
2002-A4037,2002,A4037,Renames the State Parole Board as the State Parole Commission.,excluded: renames_authority (administrative body rename)
2002-S684,2002,S684,"Renames and expands scope of Commission on Racism, Racial Violence and Religious Violence.",excluded: renames_authority (administrative body rename)
2002-S2617,2002,S2617,Renames the State Parole Board as the State Parole Commission.,excluded: renames_authority (administrative body rename)
2004-A657,2004,A657,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2004-A1055,2004,A1055,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2004-A1295,2004,A1295,Designates official entity constructing law enforcement memorial and museum.,no include pattern matched
2004-A1849,2004,A1849,Establishes forensic laboratory fees for sexual assault; designates uses.,no include pattern matched
2004-A2617,2004,A2617,Reorganzies the State's workforce development system and redesignates the Department of Labor as the Department of Labor and Workforce Development. *,no include pattern matched
2004-A3816,2004,A3816,Designates ten collective negotiations unit categories for State Executive Branch employees.,no include pattern matched
2004-AJR56,2004,AJR56,"Designates annually Atlantic City Marathon as New Jersey Festival of Running, an official State event.",no include pattern matched
2004-AJR79,2004,AJR79,Designates Sunset Lake Hydrofest in Wildwood Crest as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2004-S349,2004,S349,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2004-S1115,2004,S1115,Designates the State agencies to be involved in the selection of school renaissance zones.,no include pattern matched
2004-S1452,2004,S1452,Reorganizes the State's workforce development system and redesignates the Department of Labor as the Department of Labor and Workforce Development.,no include pattern matched
2004-S1470,2004,S1470,Designates official entity constructing law enforcement memorial and museum.,no include pattern matched
2004-S2235,2004,S2235,Designates ten collective negotiations unit categories for State Executive Branch employees.,no include pattern matched
2004-SJR33,2004,SJR33,Designates Colonial Musketeers Junior Ancient Fife and Drum Corps and Colonial Musketeers Senior Ancient Fife and Drum Corps as non-exclusive official Junior and Senior Ancient Fife and Drum Corps of New Jersey.,no include pattern matched
2004-A2423,2004,A2423,Renames the State Parole Board as the State Parole Commission.,excluded: renames_authority (administrative body rename)
2004-A3977,2004,A3977,Revises membership of Executive Commission on Ethical Standards; renames commission; makes various other changes concerning ethics. *,excluded: renames_authority (administrative body rename)
2004-S1301,2004,S1301,Renames the State Parole Board as the State Parole Commission.,excluded: renames_authority (administrative body rename)
2004-S1931,2004,S1931,Renames Work First New Jersey program as Family Development Program and makes other revisions to program.,no include pattern matched
2004-S2335,2004,S2335,Revises membership of Executive Commission on Ethical Standards; renames commission; makes various other changes concerning ethics. *,excluded: renames_authority (administrative body rename)
